"trait","Geno_Code","pop","value","top_bottom_label"
"CL-blue","Z019E0033",19,146.82,"top"
"CL-blue","Z010E0124",10,146.83,"top"
"CL-blue","Z023E0196",23,146.84,"top"
"CL-blue","Z015E0039",15,146.88,"top"
"CL-blue","Z002E0114",2,146.89,"top"
"CL-blue","Z007E0038",7,146.89,"top"
"CL-blue","Z001E0056",1,146.9,"top"
"CL-blue","Z003E0053",3,146.9,"top"
"CL-blue","Z022E0153",22,146.94,"top"
"CL-blue","Z021E0188",21,146.97,"top"
"CL-blue","Z003E0093",3,147.02,"top"
"CL-blue","Z012E0048",12,147.02,"top"
"CL-blue","Z023E0019",23,147.03,"top"
"CL-blue","Z021E0074",21,147.05,"top"
"CL-blue","Z003E0143",3,147.06,"top"
"CL-blue","Z001E0156",1,147.18,"top"
"CL-blue","Z011E0138",11,147.22,"top"
"CL-blue","Z025E0194",25,147.23,"top"
"CL-blue","Z002E0035",2,147.25,"top"
"CL-blue","Z022E0019",22,147.25,"top"
"CL-blue","Z012E0195",12,147.26,"top"
"CL-blue","Z021E0003",21,147.26,"top"
"CL-blue","Z003E0043",3,147.28,"top"
"CL-blue","Z019E0019",19,147.28,"top"
"CL-blue","Z007E0070",7,147.29,"top"
"CL-blue","Z023E0028",23,147.29,"top"
"CL-blue","Z022E0112",22,147.3,"top"
"CL-blue","Z007E0009",7,147.33,"top"
"CL-blue","Z022E0021",22,147.33,"top"
"CL-blue","Z018E0085",18,147.35,"top"
"CL-blue","Z022E0098",22,147.43999999999997,"top"
"CL-blue","Z015E0073",15,147.45,"top"
"CL-blue","Z015E0004",15,147.47,"top"
"CL-blue","Z014E0020",14,147.49,"top"
"CL-blue","Z022E0076",22,147.52,"top"
"CL-blue","Z022E0157",22,147.56,"top"
"CL-blue","Z015E0193",15,147.58,"top"
"CL-blue","Z003E0071",3,147.62,"top"
"CL-blue","Z009E0045",9,147.63,"top"
"CL-blue","Z022E0162",22,147.63,"top"
"CL-blue","Z014E0053",14,147.64,"top"
"CL-blue","Z015E0008",15,147.72,"top"
"CL-blue","Z019E0041",19,147.75,"top"
